"time_stamp","product_id","quantity"
"2015-09-13 12:09:25","1863241","1"
"2015-09-13 12:13:54","1863241","1"
"2015-09-13 11:27:50","1863241","1"
"2015-09-13 11:58:43","1863241","1"
"2015-09-13 11:52:30","498883","1"
"2015-09-13 11:59:15","1863241","1"
"2015-09-13 12:04:45","1863241","1"
"2015-09-13 12:04:04","1863241","1"
"2015-09-13 11:58:05","1863241","1"
"2015-09-13 09:39:43","498883","1"
"2015-09-13 09:37:25","1863241","1"
"2015-09-13 09:37:19","1863241","1"
"2015-09-13 09:20:27","1863241","1"
"2015-09-13 11:08:50","498883","1"
"2015-09-13 11:18:17","1863241","1"
"2015-09-13 11:18:31","1863241","1"
"2015-09-13 11:17:22","1863241","1"
"2015-09-13 11:18:31","1863241","1"
"2015-09-13 11:17:54","1863241","1"
"2015-09-13 11:13:52","1863241","1"
"2015-09-13 11:21:58","1863241","1"
"2015-09-13 09:50:31","1863241","1"
"2015-09-13 10:14:37","1863241","1"
"2015-09-13 10:09:49","1863241","1"
"2015-09-13 10:13:32","741057","1"
"2015-09-13 09:06:40","1863241","1"
"2015-09-13 11:18:52","1863241","1"
"2015-09-13 11:29:18","498883","1"
"2015-09-13 11:12:08","498883","1"
"2015-09-13 11:25:08","1863241","2"
"2015-09-13 11:24:56","1863241","1"
"2015-09-13 02:02:33","1863241","1"
"2015-09-13 02:02:38","1863241","1"
"2015-09-13 02:00:04","1863241","1"
"2015-09-13 02:00:06","1863241","1"
"2015-09-13 03:28:30","1863241","1"
"2015-09-13 02:47:28","1863241","1"
"2015-09-13 03:53:42","1863241","1"
"2015-09-13 02:51:43","1863241","1"
"2015-09-13 03:58:07","741057","1"
"2015-09-13 04:09:00","741057","1"
"2015-09-13 04:52:34","1863241","1"
"2015-09-13 04:36:19","1863241","2"
"2015-09-13 00:00:35","1863241","1"
"2015-09-13 01:23:44","741057","1"
"2015-09-13 01:32:58","1863241","1"
"2015-09-13 01:31:36","1863241","1"
"2015-09-13 01:33:39","498883","1"
"2015-09-13 01:02:00","498883","1"
"2015-09-13 09:44:59","1863241","1"
"2015-09-13 09:53:25","1863241","1"
"2015-09-13 09:48:43","1863241","1"
"2015-09-13 09:43:57","1863241","1"
"2015-09-13 09:47:27","1863241","1"
"2015-09-13 10:22:08","1863241","1"
"2015-09-13 09:49:26","498883","1"
"2015-09-13 09:19:39","1863241","1"
"2015-09-13 09:22:48","1863241","1"
"2015-09-13 09:22:48","1863241","1"
"2015-09-13 09:17:36","1863241","1"
"2015-09-13 09:16:29","1863241","2"
"2015-09-13 09:16:49","1863241","1"
"2015-09-13 09:17:16","741057","5"
"2015-09-13 08:56:29","741057","4"
"2015-09-13 10:44:58","1863241","1"
"2015-09-13 10:44:58","1863241","1"
"2015-09-13 10:40:50","1863241","1"
"2015-09-13 10:25:11","1863241","1"
"2015-09-13 10:39:01","498883","1"
"2015-09-13 10:43:24","1863241","1"
"2015-09-13 10:36:22","498883","1"
"2015-09-13 10:25:32","1863241","1"
"2015-09-13 10:25:52","1863241","1"
"2015-09-13 10:41:57","1863241","1"
"2015-09-13 08:47:29","498883","1"
"2015-09-13 08:35:40","498883","1"
"2015-09-13 08:35:10","498883","1"
"2015-09-13 08:49:33","1863241","1"
"2015-09-13 08:50:52","498883","1"
"2015-09-13 08:53:05","1863241","1"
"2015-09-13 08:53:05","1863241","1"
"2015-09-13 08:48:13","741057","2"
"2015-09-13 08:47:34","498883","1"
"2015-09-13 11:41:42","1863241","1"
"2015-09-13 11:52:47","1863241","1"
"2015-09-13 11:46:18","1863241","1"
"2015-09-13 11:47:32","1863241","2"
"2015-09-13 11:45:35","1863241","1"
"2015-09-13 11:42:54","1863241","2"
"2015-09-13 11:31:16","1863241","1"
"2015-09-13 11:12:46","1863241","1"
"2015-09-13 11:12:16","1863241","2"
"2015-09-13 11:11:44","1863241","1"
"2015-09-13 15:03:22","1863241","1"
"2015-09-13 15:03:20","1863241","1"
"2015-09-13 15:02:14","1863241","1"
"2015-09-13 15:45:48","1863241","1"
"2015-09-13 15:49:01","1863241","1"
"2015-09-13 15:44:57","1863241","1"
"2015-09-13 15:41:54","1863241","1"
"2015-09-13 15:51:13","498883","1"
"2015-09-13 15:47:30","498883","1"
"2015-09-13 15:50:15","498883","1"
"2015-09-13 15:44:56","498883","1"
"2015-09-13 15:36:29","498883","1"
"2015-09-13 15:41:34","498883","1"
"2015-09-13 15:26:45","1863241","2"
"2015-09-13 14:04:37","1863241","1"
"2015-09-13 13:58:49","1863241","2"
"2015-09-13 15:26:42","1863241","1"
"2015-09-13 15:48:26","1863241","1"
"2015-09-13 15:07:23","498883","1"
"2015-09-13 15:12:44","1863241","1"
"2015-09-13 14:31:46","1863241","1"
"2015-09-13 14:18:46","1863241","1"
"2015-09-13 15:15:26","741057","4"
"2015-09-13 15:10:15","741057","4"
"2015-09-13 15:18:26","1863241","1"
"2015-09-13 15:19:34","1863241","1"
"2015-09-13 15:20:38","498883","1"
"2015-09-13 15:04:34","498883","1"
"2015-09-13 12:57:04","741057","1"
"2015-09-13 12:37:59","1863241","1"
"2015-09-13 12:56:34","498883","1"
"2015-09-13 12:29:03","498883","1"
"2015-09-13 12:52:50","1863241","1"
"2015-09-13 12:55:25","1863241","1"
"2015-09-13 13:23:26","498883","1"
"2015-09-13 13:40:41","498883","1"
"2015-09-13 13:45:07","1863241","1"
"2015-09-13 13:45:13","1863241","1"
"2015-09-13 13:34:51","741057","5"
"2015-09-13 13:52:58","1863241","1"
"2015-09-13 13:51:37","1863241","1"
"2015-09-13 13:27:55","498883","1"
"2015-09-13 13:25:31","498883","1"
"2015-09-13 13:21:45","498883","1"
"2015-09-13 13:32:41","1863241","1"
"2015-09-13 13:11:55","498883","1"
"2015-09-13 13:12:32","498883","1"
"2015-09-13 13:24:22","498883","1"
"2015-09-13 13:26:37","498883","1"
"2015-09-13 13:09:25","498883","1"
"2015-09-13 11:57:32","498883","1"
"2015-09-13 12:25:50","498883","1"
"2015-09-13 13:33:42","741057","1"
"2015-09-13 13:21:09","741057","1"
"2015-09-13 15:39:50","1863241","2"
"2015-09-13 14:43:33","1863241","1"
"2015-09-13 15:40:39","1863241","1"
"2015-09-13 15:39:45","1863241","1"
"2015-09-13 15:35:33","1863241","1"
"2015-09-13 15:45:35","741057","2"
"2015-09-13 14:55:31","1863241","2"
"2015-09-13 14:54:53","1863241","1"
"2015-09-13 14:42:34","498883","1"
"2015-09-13 14:55:06","498883","1"
"2015-09-13 14:44:05","498883","1"
"2015-09-13 15:00:06","1863241","1"
"2015-09-13 15:03:12","498883","1"
"2015-09-13 15:53:42","1863241","1"
"2015-09-13 14:13:50","498883","1"
"2015-09-13 14:09:52","1863241","1"
"2015-09-13 13:58:52","1863241","1"
"2015-09-13 13:58:45","1863241","1"
"2015-09-13 14:01:41","1863241","1"
"2015-09-13 14:00:50","1863241","1"
"2015-09-13 14:05:14","1863241","1"
"2015-09-13 14:02:54","1863241","2"
"2015-09-13 14:04:56","498883","1"
"2015-09-13 14:00:34","498883","1"
"2015-09-13 13:17:42","1863241","1"
"2015-09-13 13:04:40","1863241","1"
"2015-09-13 13:43:04","741057","1"
"2015-09-13 13:39:31","741057","1"
"2015-09-13 14:01:21","498883","1"
"2015-09-13 13:46:57","1863241","2"
"2015-09-13 13:44:36","1863241","1"
"2015-09-13 13:56:33","1863241","1"
"2015-09-13 14:26:55","741057","3"
"2015-09-13 14:28:18","498883","1"
"2015-09-13 14:37:21","498883","1"
"2015-09-13 14:39:07","498883","1"
"2015-09-13 14:31:52","498883","1"
"2015-09-13 15:34:35","1863241","1"
"2015-09-13 15:33:08","1863241","1"
"2015-09-13 15:31:09","498883","1"
"2015-09-13 15:28:07","498883","1"
"2015-09-13 15:33:56","498883","1"
"2015-09-13 15:01:16","498883","1"
"2015-09-13 15:21:50","741057","1"
"2015-09-13 15:30:45","1863241","1"
"2015-09-13 15:24:04","1863241","1"
"2015-09-13 10:53:37","498883","1"
"2015-09-13 12:15:55","1863241","1"
"2015-09-13 12:15:55","1863241","1"
"2015-09-13 12:10:05","1863241","1"
"2015-09-13 12:06:08","1863241","1"
"2015-09-13 12:20:46","1863241","1"
"2015-09-13 12:13:01","498883","1"
"2015-09-13 17:15:50","498883","1"
"2015-09-13 17:23:34","1863241","2"
"2015-09-13 17:23:13","1863241","1"
"2015-09-13 17:19:44","498883","1"
"2015-09-13 17:08:47","498883","1"
"2015-09-13 14:20:34","1863241","1"
"2015-09-13 14:20:46","1863241","1"
"2015-09-13 14:09:40","1863241","1"
"2015-09-13 14:08:32","1863241","1"
"2015-09-13 13:38:11","1863241","1"
"2015-09-13 13:37:30","1863241","1"
"2015-09-13 13:38:26","498883","1"
"2015-09-13 13:39:33","1863241","1"
"2015-09-13 13:39:42","1863241","1"
"2015-09-13 13:35:43","741057","1"
